genome	Clade1	type	Subclade	Family	Genus	Species	original_Subclade	original_Subgroup	original_Family	original_Genus	original_Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_bac120_crown_node	Family_SAR11_165_crown_node	Subclade_bac120_crown_node	Subclade_SAR11_165_crown_node	Genus_bac120_crown_node	Genus_SAR11_165_crown_node	Family_bac120_crown_support	Family_SAR11_165_crown_support	Subclade_bac120_crown_support	Subclade_SAR11_165_crown_support	Genus_bac120_crown_support	Genus_SAR11_165_crown_support	Family_dual_tree_support	Subclade_dual_tree_support	Genus_dual_tree_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
AG-893-P02	I	SAG	NA	Pelagibacteraceae	NA	NA	Ib.2.b	Ib.2.N10	Pelagibacteraceae	Fususpelagibacter	NA	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	874	957	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
AG-426-F15	I	SAG	Ib.N7	Pelagibacteraceae	Parvipelagibacter	dignotus	Ib.2.a	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	dignotus	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-903-L07	I	SAG	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Ib.2.a	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-905-O08	I	SAG	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Ib.2.a	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-916-G09	I	SAG	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Ib.2.a	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-918-B06	I	SAG	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Ib.2.a	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-915-G13	I	SAG	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Ib.2.a	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-365-D07	I	SAG	NA	Pelagibacteraceae	NA	NA	Ib.3	Ib.3	Pelagibacteraceae	NA	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	547	546	NA	NA	NA	NA	0.9	1	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
AG-390-C19	I	SAG	NA	Pelagibacteraceae	NA	NA	Ib.3	Ib.3	Pelagibacteraceae	NA	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	547	546	NA	NA	NA	NA	0.9	1	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
AG-422-N14	I	SAG	NA	Pelagibacteraceae	NA	NA	Ib.3	Ib.3	Pelagibacteraceae	NA	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	547	546	NA	NA	NA	NA	0.9	1	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
AG-426-G09	I	SAG	NA	Pelagibacteraceae	NA	NA	Ib.3	Ib.3	Pelagibacteraceae	NA	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	547	546	NA	NA	NA	NA	0.9	1	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
AG-414-M23	I	SAG	NA	Pelagibacteraceae	NA	NA	Ib.3	Ib.3	Pelagibacteraceae	NA	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	547	546	NA	NA	NA	NA	0.9	1	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
AG-439-O15	I	SAG	NA	Pelagibacteraceae	NA	NA	Ib.3	Ib.3	Pelagibacteraceae	NA	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	547	546	NA	NA	NA	NA	0.9	1	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
AG-426-E17	I	SAG	Ib.4.I	Pelagibacteraceae	Extensipelagibacter	unicus	Ib.4	Ib.4.I	Pelagibacteraceae	Passimpelagibacter	unicum	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-891-E06	I	SAG	Ib.4.I	Pelagibacteraceae	Extensipelagibacter	unicus	Ib.4	Ib.4.I	Pelagibacteraceae	Passimpelagibacter	NA	ANI>=95% and AAI>=95% with AG-426-E17	ANI>=95% and AAI>=95% with AG-426-E17	ANI>=95% and AAI>=95% with AG-426-E17	ANI>=95% and AAI>=95% with AG-426-E17	ANI95_AAI95	ANI95_AAI95	ANI95_AAI95	ANI95_AAI95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AG-426-E17	97.22405	97.46
AG-916-A21	I	SAG	Ib.4.I	Pelagibacteraceae	Extensipelagibacter	unicus	Ib.4	Ib.4.I	Pelagibacteraceae	Passimpelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-325-E08	I	SAG	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Ia.4	Ib.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-390-D02	I	SAG	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Ia.4	Ib.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	749	749	749	749	749	749	0.57	1	0.57	1	0.57	1	0.57	0.57	0.57	NA	NA	NA
AG-390-D15	I	SAG	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Ia.4	Ib.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-390-M02	I	SAG	NA	Pelagibacteraceae	NA	NA	Ia.4	Ib.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	744	749	NA	NA	NA	NA	0.98	1	NA	NA	NA	NA	0.98	NA	NA	NA	NA	NA
AG-390-J13	I	SAG	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Ia.4	Ib.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	749	749	749	749	749	749	0.57	1	0.57	1	0.57	1	0.57	0.57	0.57	NA	NA	NA
SAG-MED11	I	SAG	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Ia.4	Ib.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-916-G19	I	SAG	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	undulae	Ia.4	Ib.4.N2	Pelagibacteraceae	Pantolocipelagibacter	undulae	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-893-F11	I	SAG	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	oceanicus	Ia.4	Ib.4.N3	Pelagibacteraceae	Proventuspelagibacter	oceanicus	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-892-K05	I	SAG	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Ia.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-912-C08	I	SAG	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Ia.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-899-G02	I	SAG	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Ia.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	766	772	766	772	766	772	1	1	1	1	1	1	1	1	1	NA	NA	NA
AG-900-K21	I	SAG	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Ia.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-908-F20	I	SAG	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Ia.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-L13	I	SAG	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Ia.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-895-J19	I	SAG	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Ia.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-461-M18	I	SAG	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	NA	Ib.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-893-K09	I	SAG	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	bermudensis	Ib.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	bermudensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-901-I21	I	SAG	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	bermudensis	Ib.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-917-M15	I	SAG	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	NA	Ib.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-909-A17	I	SAG	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	NA	Ib.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	972	973	972	973	972	973	1	1	1	1	1	1	1	1	1	NA	NA	NA
AG-920-I06	I	SAG	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	NA	Ib.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	972	973	972	973	972	973	1	1	1	1	1	1	1	1	1	NA	NA	NA
AG-917-B07	I	SAG	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	NA	Ib.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-920-L19	I	SAG	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	NA	Ib.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-324-B10	I	SAG	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	NA	Ib.4	Ib.4.N8	Pelagibacteraceae	Mediuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-430-F16	I	SAG	Ib.4.N9	Pelagibacteraceae	Amplipelagibacter	globalis	Ib.4	Ib.4.N9	Pelagibacteraceae	Amplipelagibacter	globalis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-430-J04	I	SAG	NA	Pelagibacteraceae	NA	NA	Ib.4	Ib.4.N9	Pelagibacteraceae	Amplipelagibacter	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	981	980	NA	NA	NA	NA	0.82	1	NA	NA	NA	NA	0.82	NA	NA	NA	NA	NA
AG-907-E04	I	SAG	Ib.2.N9	Pelagibacteraceae	Amplipelagibacter	NA	Ib.4	Ib.4.N9	Pelagibacteraceae	Amplipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-914-A09	I	SAG	Ib.2.N9	Pelagibacteraceae	Amplipelagibacter	NA	Ib.4	Ib.4.N9	Pelagibacteraceae	Amplipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-453-K22	I	SAG	NA	Pelagibacteraceae	NA	NA	Ib.4	Ib.4.N9	Pelagibacteraceae	Amplipelagibacter	NA	NA	Dual-tree crown interpolation (provisional)	NA	NA	NA	topology_provisional	NA	NA	982	980	NA	NA	NA	NA	0.84	1	NA	NA	NA	NA	0.84	NA	NA	NA	NA	NA
AG-916-O13	I	SAG	Ib.2.N9	Pelagibacteraceae	Amplipelagibacter	NA	Ib.4	Ib.4.N9	Pelagibacteraceae	Amplipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-903-K07	I	SAG	Ib.2.N9	Pelagibacteraceae	Amplipelagibacter	NA	Ib.4	Ib.4.N9	Pelagibacteraceae	Amplipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-325-C21	I	SAG	NA	Pelagibacteraceae	NA	NA	Ib.5	Ib.5	Pelagibacteraceae	NA	NA	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	548	548	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
SAG-MED15	I	SAG	NA	Pelagibacteraceae	NA	NA	Ib.5	Ib.5	Pelagibacteraceae	NA	NA	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	548	548	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
AG-422-N15	I	SAG	NA	Pelagibacteraceae	NA	NA	Ib.5	Ib.5	Pelagibacteraceae	NA	NA	NA	Dual-tree crown interpolation (high confidence)	NA	NA	NA	topology_high	NA	NA	548	548	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
AG-349-I05	I	SAG	Ib.N11	Pelagibacteraceae	Rubripelagibacter	NA	Ib.5	Ib.N11	Pelagibacteraceae	Rubeuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-430-I18	I	SAG	Ib.N11	Pelagibacteraceae	Rubripelagibacter	NA	Ib.5	Ib.N11	Pelagibacteraceae	Rubeuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-914-L20	I	SAG	Ib.N11	Pelagibacteraceae	Rubripelagibacter	NA	Ib.5	Ib.N11	Pelagibacteraceae	Rubeuspelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	860	861	860	861	860	861	0.98	1	0.98	1	0.98	1	0.98	0.98	0.98	NA	NA	NA
AH-324-E14	I	SAG	Ib.N11	Pelagibacteraceae	Rubripelagibacter	NA	Ib.5	Ib.N11	Pelagibacteraceae	Rubeuspelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	860	861	860	861	860	861	0.98	1	0.98	1	0.98	1	0.98	0.98	0.98	NA	NA	NA
AG-911-N14	I	SAG	Ib.N11	Pelagibacteraceae	Rubripelagibacter	NA	Ib.5	Ib.N11	Pelagibacteraceae	Rubeuspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-414-E02	I	SAG	Ic	Mesopelagibacteraceae	Mesopelagibacter	NA	Ic.2	Ic.2	Mesopelagibacteraceae	Mesopelagibacter	carboxydoxivorans	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS1	I	MAG	Ic	Mesopelagibacteraceae	Mesopelagibacter	NA	Ic.2	Ic.2	Mesopelagibacteraceae	Mesopelagibacter	NA	Dual-tree validation of prior lineage assignment (high confidence)	Dual-tree validation of prior family assignment (high confidence)	Dual-tree validation of prior lineage assignment (high confidence)	NA	topology_high	topology_high	topology_high	NA	1038	1038	1038	1038	1038	1038	1	1	1	1	1	1	1	1	1	NA	NA	NA
MED605	I	MAG	Ic	Mesopelagibacteraceae	Mesopelagibacter	NA	Ic.2	Ic.2	Mesopelagibacteraceae	Mesopelagibacter	NA	Dual-tree validation of prior lineage assignment (high confidence)	Dual-tree validation of prior family assignment (high confidence)	Dual-tree validation of prior lineage assignment (high confidence)	NA	topology_high	topology_high	topology_high	NA	1038	1038	1038	1038	1038	1038	1	1	1	1	1	1	1	1	1	NA	NA	NA
AG-343-E17	II	SAG	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	IIa.A.1	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-439-C08	II	SAG	IIa.A	Cosmipelagibacteraceae	NA	NA	IIa.A	IIa.A.1	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	NA	NA	direct_literature	topology_provisional	NA	NA	1032	1032	NA	NA	NA	NA	0.88	0.99	NA	NA	NA	NA	0.88	NA	NA	NA	NA	NA
AG-414-B15	II	SAG	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	IIa.A.1	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-365-B19	II	SAG	IIa.A	Cosmipelagibacteraceae	NA	NA	IIa.A	IIa.A.1	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	NA	NA	direct_literature	topology_provisional	NA	NA	1035	1032	NA	NA	NA	NA	0.85	0.99	NA	NA	NA	NA	0.85	NA	NA	NA	NA	NA
AG-426-O05	II	SAG	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	IIa.A.1	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-A21	II	SAG	IIa.A	Cosmipelagibacteraceae	NA	NA	IIa.A	IIa.A.1	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	NA	NA	direct_literature	topology_provisional	NA	NA	1035	1036	NA	NA	NA	NA	0.85	0.99	NA	NA	NA	NA	0.85	NA	NA	NA	NA	NA
AG-426-I15	II	SAG	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	IIa.A.1	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-430-F03	II	SAG	IIa.A	Cosmipelagibacteraceae	Anoxipelagibacter	NA	IIa.A	IIa.A.1	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
